0.673: [Full GC 0.673: [Tenured: 130K->130K(1408K), 0.0046933 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047598 secs]
0.678: [Full GC 0.678: [Tenured: 130K->142K(1408K), 0.0042651 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043257 secs]
0.683: [Full GC 0.683: [Tenured: 142K->118K(1408K), 0.0045249 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045911 secs]
0.688: [Full GC 0.688: [Tenured: 118K->130K(1408K), 0.0042098 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042693 secs]
0.693: [Full GC 0.693: [Tenured: 130K->130K(1408K), 0.0046967 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047607 secs]
0.698: [Full GC 0.698: [Tenured: 130K->142K(1408K), 0.0041804 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042396 secs]
0.703: [Full GC 0.703: [Tenured: 142K->118K(1408K), 0.0043824 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044464 secs]
0.707: [Full GC 0.707: [Tenured: 118K->130K(1408K), 0.0045891 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046511 secs]
0.712: [Full GC 0.712: [Tenured: 130K->130K(1408K), 0.0043777 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044416 secs]
0.717: [Full GC 0.717: [Tenured: 130K->142K(1408K), 0.0041787 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042377 secs]
0.722: [Full GC 0.722: [Tenured: 142K->118K(1408K), 0.0046517 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047160 secs]
0.727: [Full GC 0.727: [Tenured: 118K->130K(1408K), 0.0041910 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042497 secs]
0.731: [Full GC 0.731: [Tenured: 130K->130K(1408K), 0.0043701 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044335 secs]
0.736: [Full GC 0.736: [Tenured: 130K->142K(1408K), 0.0041804 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042396 secs]
0.741: [Full GC 0.741: [Tenured: 142K->118K(1408K), 0.0044643 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045299 secs]
0.746: [Full GC 0.746: [Tenured: 118K->130K(1408K), 0.0042419 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043011 secs]
0.751: [Full GC 0.751: [Tenured: 130K->130K(1408K), 0.0043402 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044028 secs]
0.755: [Full GC 0.755: [Tenured: 130K->142K(1408K), 0.0044478 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045078 secs]
0.760: [Full GC 0.760: [Tenured: 142K->118K(1408K), 0.0043687 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044316 secs]
0.765: [Full GC 0.765: [Tenured: 118K->130K(1408K), 0.0041818 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042405 secs]
0.770: [Full GC 0.770: [Tenured: 130K->130K(1408K), 0.0047095 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047746 secs]
0.775: [Full GC 0.775: [Tenured: 130K->142K(1408K), 0.0041841 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042422 secs]
0.779: [Full GC 0.779: [Tenured: 142K->118K(1408K), 0.0043757 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044394 secs]
0.784: [Full GC 0.784: [Tenured: 118K->130K(1408K), 0.0044497 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045106 secs]
0.789: [Full GC 0.789: [Tenured: 130K->130K(1408K), 0.0044168 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044805 secs]
0.794: [Full GC 0.794: [Tenured: 130K->142K(1408K), 0.0041729 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042324 secs]
0.798: [Full GC 0.799: [Tenured: 142K->118K(1408K), 0.0046732 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047389 secs]
0.803: [Full GC 0.803: [Tenured: 118K->130K(1408K), 0.0042212 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042818 secs]
0.808: [Full GC 0.808: [Tenured: 130K->130K(1408K), 0.0043927 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044545 secs]
0.813: [Full GC 0.813: [Tenured: 130K->142K(1408K), 0.0041824 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042405 secs]
0.818: [Full GC 0.818: [Tenured: 142K->118K(1408K), 0.0046196 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046836 secs]
0.822: [Full GC 0.823: [Tenured: 118K->130K(1408K), 0.0041888 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042480 secs]
0.827: [Full GC 0.827: [Tenured: 130K->130K(1408K), 0.0043709 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044338 secs]
